nodeA	nodeB	weight	source	evidence	version
ALK	TP53	0.772	STRING_Local	combined_score	v12.0
SETD2	TP53	0.845	STRING_Local	combined_score	v12.0
IDH1	KRAS	0.762	STRING_Local	combined_score	v12.0
IDH1	TERT	0.781	STRING_Local	combined_score	v12.0
IDH1	CDKN2A	0.744	STRING_Local	combined_score	v12.0
IDH1	PTEN	0.841	STRING_Local	combined_score	v12.0
IDH1	NRAS	0.777	STRING_Local	combined_score	v12.0
IDH1	IDH2	0.961	STRING_Local	combined_score	v12.0
IDH1	EGFR	0.795	STRING_Local	combined_score	v12.0
IDH1	BRAF	0.799	STRING_Local	combined_score	v12.0
IDH1	TP53	0.845	STRING_Local	combined_score	v12.0
IDH1	NF1	0.75	STRING_Local	combined_score	v12.0
IDH1	MYC	0.74	STRING_Local	combined_score	v12.0
IDH1	PIK3CA	0.713	STRING_Local	combined_score	v12.0
